Unit,P&L Line,Nominal Code,Nominal Name,Ledger,Type,Value,Ref,Date,Description,Header Ref,Project ID,Cost Centre,Supplier ID
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,5320,355617,44829,16T Long reach & Operator from 26th Sept to 30th Sept,5219,Proj000054,P-SUB,Sup000681
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,510,355618,44843,Mobilisation & Demobilisation of16T Long reach & Operator from 26th Sept to 30th Sept,5250,Proj000054,P-SUB,Sup000681
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,380,355639,44841,"HS2 Qty 4 @ £190
TOTAL £7",INV-0087,Proj000054,P-DIRECT,Sup000668
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,148.5,355640,44841,"Travel Qty 646 @ £0.45 
TOTAL £290.",INV-0087,Proj000054,P-DIRECT,Sup000668
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,355644,44834,"Sub-contractor services provided on site
5 days charged at 190.00 per day",04,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,323.1,355645,44834,Mileage claim - paid at .45p per mile,04,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,45,355646,44834,Overtime claim,04,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,250,355647,44845,"Shift on 07/10/20220 Qty 1 @ £250
TOTAL £2",1357,Proj000054,P-DIRECT,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,250,355648,44845,"Shift on 06/10/20220 Qty 1 @ £250
TOTAL £2",1357,Proj000054,P-DIRECT,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,250,355649,44845,"Shift on 05/10/20220 Qty 1 @ £250
TOTAL £2",1357,Proj000054,P-DIRECT,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,250,355650,44845,"Shift on 04/10/20220 Qty 1 @ £250
TOTAL £2",1357,Proj000054,P-DIRECT,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,250,355651,44845,"Shift on 03/10/20220 Unit price £250 qty 1
TOTAL 25",1357,Proj000054,P-DIRECT,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,355652,44841,"Sub-contractor services provided on site 
5 days charged at 190.00 per day",05,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,325.8,355653,44841,Mileage claim - paid at .45p per mile,05,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,570,355654,44848,"Sub-contractor services provided on site
3 days charged at 190.00 per day",06,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,193.5,355655,44848,Mileage claim - paid at .45p per mile,06,Proj000603,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,355658,44855,"Sub-contractor services provided on site
5 days charged at 190.00 per day",07,Proj000054,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,318.6,355659,44855,Mileage claim - paid at .45p per mile,07,Proj000054,P-SUB,Sup000697
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1955,355764,44862,"Period/End 21/10/2022 T/S UT03295671
L-00021872 Mr A Malik Basic Days 5.00 DAYS @ 345. 00/ DAY",PINF2285804,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,560,355815,44862,HS2 EEW  24TH - 27TH October  4 units @ £14,185,Proj000054,P-DIRECT,Sup000667
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2000,355822,44862,"Engineering services provided for RSK Habitat Management.
Onsite Engineer Ty Jones 5 days at £400 per day 
TOTAL £20",257,Proj000054,P-DIRECT,Sup000696
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1128,356156,44862,"Road Sweeper on Site at Blithbury sites to be determined.
2 days per week
Minimum 4 Hrs on site
Price per visit",INV-2016356,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1250,356379,44866,"Sub-contractor services provided on HS2
5 days charged at 250.00 per day",1360,Proj000054,P-SUB,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1623.07,356543,44860,"Temp services provided on HS2 - Laurentio Serb
5 days charged at 300.00 per day",3953680,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,840,356600,44865,"Tractor, Operator with Sub-soiler
Day rate",INV-2016365,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,580,356603,44865,"Brush-cutter & Operative
Monday 31 Oct 2 men
Day rate to inc fuel",INV-2016364,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,10780,356637,44866,1 x SSSTS - £360 per da,INV-0524,Proj000606,P-DIRECT,Sup000651
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,6520,356639,44866,3 x Fencing Ops,INV-0525,Proj000606,P-DIRECT,Sup000651
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,4580,356640,44866,SSSTS x 1 - £300.0,INV-0526,Proj000606,P-DIRECT,Sup000651
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2480,356641,44866,2 x PTS hydro ops,INV-0527,Proj000606,P-DIRECT,Sup000651
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,849.15,356652,44861,Temp services provided on site - M Smith,3955762,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,894.15,356653,44861,Temp services - K Lewis,3955761,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,654,356900,44864,Transport cost,P235876,Proj000603,P-DIRECT,Sup000677
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,7225,357606,44862,"Blithbury Water
To supply up to 15,000L of non-chlorinated Water per
delivery",INV-2016351,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1800,357650,44862,"Sub-contractor services provided on EWR
6 shift (Site Management services) charged at 300.00 per shift",INV2233,Proj000606,P-SUB,Sup000684
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,500,357651,44862,Accommodation charge,INV2233,Proj000606,P-SUB,Sup000684
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,4078.8,357832,44865,"Sub-contractor services provided on Access 18
22 days charged at 180.00 per day",134,Proj000603,P-SUB,Sup000654
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,840,357841,44862,"Tractor, Operator with Sub-soiler
Day rate",INV-2016354,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,760,358290,44869,"Sub-contractor services provided on site
4 days charged at 190.00 per day",INV-0090,Proj000054,P-SUB,Sup000668
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,50,358291,44869,"Chainsaw, brushcutter and hedge cutter provided",INV-0090,Proj000054,P-SUB,Sup000668
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,291.15,358292,44869,Mileage claim,INV-0090,Proj000054,P-SUB,Sup000668
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1100,358294,44857,"Sub-contractor services provided on site
Site Supervison",RSK007,Proj000606,P-SUB,Sup000693
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,220,358295,44857,Saturday work,RSK007,Proj000606,P-SUB,Sup000693
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,21.54,358296,44857,Purchase of petrol cannister for hydro seeder,RSK007,Proj000606,P-SUB,Sup000693
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1100,358298,44857,"Sub-contractor services provided on site
Site Supervisor",RSK008,Proj000606,P-SUB,Sup000693
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1100,358299,44870,"Sub-contractor services provided on site
Site Supervisor",RSK009,Proj000606,P-SUB,Sup000693
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,480,358300,44869,"Sub-contractor services provided on site
3 days charged at 160.00 per day",INV00252,Proj000054,P-SUB,Sup000659
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,266.85,358301,44869,"Mileage claim, paid at .45p per mile",INV00252,Proj000054,P-SUB,Sup000659
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,675,358302,44869,"Sub-contractor services provided on site
SSSTS",50,Proj000606,P-SUB,Sup000669
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,80,358303,44869,Daily allowance,50,Proj000606,P-SUB,Sup000669
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,221.4,358304,44869,"Mileage claim, paid at .45 per mile",50,Proj000606,P-SUB,Sup000669
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,280,358305,44869,"Accommodation allowance
paid at 70.00 per night",50,Proj000606,P-SUB,Sup000669
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2030,358307,44869,Brush cutter plus operator (2 men for 2 days),INV-2016375,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,915.4,358587,44834,CIS WORKS,1247,Proj000603,P-DIRECT,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,3360,358601,44869,"Tractor, Operator with Sub-soiler
Day rate",INV-2016376,Proj000054,P-SUB,Sup000649
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,358610,44841,"Sub-contractor services provided on site
5 days charged at 190.00 per day",1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,125,358611,44841,Daily subsistence,1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,137.25,358612,44841,Mileage claim,1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,13.65,358613,44841,Mileage claim for trailer,1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,5,358614,44841,Purchase of 40 x water bottles,1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,101.7,358615,44841,Mileage claim for driving to lichfield,1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,19,358616,44841,"Overtime claim
1 hour charged at 19.00 per hour",1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,200,358617,44841,Trailer hire (agreed by Marie Sanchez),1248,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,190,358621,44848,Sub-contractor services provided on site,1250,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,25,358622,44848,Daily allowance,1250,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,5.4,358623,44848,Mileage claim,1250,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,118.3,358624,44848,Trailer mileage claim,1250,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,358625,44855,Sub-contractor services provided on site,1251,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,125,358626,44855,Daily allowance,1251,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,141.3,358627,44855,Mileage claim,1251,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,9.75,358628,44855,Trailer mileage claim,1251,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,200,358629,44855,Trailer hire (agreed by Marie Sanchez),1251,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1250,358633,44872,"Sub-contractor services provided on site
5 days charged at 250.00 per day",1362,Proj000054,P-SUB,Sup000672
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,358668,44862,Sub-contractor services provided on site,1252,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,125,358669,44862,Daily allowance,1252,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,139.5,358670,44862,Mileage claim,1252,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,20.15,358671,44862,trailer mileage,1252,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,200,358672,44862,Trailer hire (agreed by Marie Sanchez),1252,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,950,358673,44869,Sub-contractor services provided on site,1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,125,358674,44869,Daily allowance,1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,140.4,358675,44869,Mileage claim,1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,145.6,358676,44869,Trailer mileage claim,1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,200,358677,44869,Trailer hire (agreed by Marie Sanchez),1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,80,358678,44869,Additional trailer hire for collection of telegraph pole for site,1253,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,760,358681,44848,"Access 18, Avonmouth ongoing works:
Day rate £190
Subsistence per night: £25
Mileage non trailer £0.45
Mileage with trailer £0.65
Trailer hire per week: £200 

Total (for Focal P purposes only) = £416.10
Site address: Various ",1249,Proj000603,P-DIRECT,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,13.65,358682,44848,Trailer mileage,1249,Proj000666,P-DIRECT,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,133.2,358683,44848,Mileage claim,1249,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,100,358684,44848,Daily allowance paid at 25.00 per day,1249,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,200,358685,44848,Trailer hire (agreed by Marie Sanchez),1249,Proj000603,P-SUB,Sup000664
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2000,358686,44869,"Sub-contractor services provided on site
5 days charged at 400.00 per day",260,Proj000054,P-SUB,Sup000696
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,2236,358705,44866,"Sub-contractor services provided on site for two days to include:
2 x operative charged at 250.00 per man
SSSTS coverage = £300.00
Accommodation paid at 70.00 per night
Daily allowance paid at 20.00 per day
Fuel charge = 240.0",INV-0533,Proj000635,P-SUB,Sup000651
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358717,44774,1 Lead fencer x 5 days,SI-615,Proj000606,P-DIRECT,Sup000653
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1400,358718,44774,1 labourer x 5 days,SI-615,Proj000606,P-DIRECT,Sup000653
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,450,358719,44774,360 machine hire,SI-615,Proj000606,P-DIRECT,Sup000653
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358724,44869,"Sub-contractor services provided on EWR 
5 days charged at 300.00 per day",INV2234,Proj000606,P-SUB,Sup000684
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,400,358725,44869,Daily allowance plus accommodation,INV2234,Proj000606,P-SUB,Sup000684
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1600,358727,44866,"HS2 Sublot 2 SSSTS Supervison for Hydroseeding - Lee Chilton
31st 2nd 3rd 4th Nov 2022 (Stood down 1st 2nd 3rd November) Qty 5 Unit price £320
TOTAL £16",INV-002014,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,190,358728,44866,"Work Vehicle Qty 2 @ unit price £95
TOTAL £1",INV-002014,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1200,358729,44866,Monday 31st Unimog with side arm sub contract services,INV-002015,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,320,358730,44866,Operator Stephen White Sub Contract Services,INV-002015,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1955,358732,44867,"Period/End 07/10/2022 T/S GEN002633481
L-00021912 Mr S Ahmed Basic Days 5.00 HOURS @ 391. 00/ HOUR",PINF2288163,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1725,358733,44867,"Period/End 28/10/2022 T/S UT03295672
L-00021872 Mr A Malik Basic Days 5.00 DAYS @ 345. 00/ DAY
TOTAL £172",PINF2288027,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1250,358735,44867,"Period/End 30/09/2022 T/S GEN002624067
T2U5235560 Mr F HamanBasic Days 5.00 HOURS @ 250. 00/ HOUR",PINF2288204,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,920,358737,44867,"Period/End 28/10/2022 T/S GEN002635517
U-00063577 Mr M VuanicaBuasic Days 4.00 HOURS @ 230. 00/ HOUR
TOTAL £920.0",PINF2288287,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,800,358738,44867,"Period/End 30/09/2022 T/S GEN002625216
U-00071661 Mr J Booth Basic Days 4.00 HOURS @ 200. 00/ HOUR",PINF2288288,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,860,358739,44867,"Period/End 28/10/2022 T/S GEN002635519
T3U5747107 Mr R TunidauBasic Days 4.00 HOURS @ 215. 00/ HOUR
TOTAL £86",PINF2288289,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1525,358740,44867,"Period/End 28/10/2022 T/S GEN002635520
U-00071660 Mr J GalbraithBasic Days 5.00 HOURS @ 305. 00/ HOUR
TOTAL £152",PINF2288290,Proj000054,P-DIRECT,Sup000656
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,960,358745,44862,"HS2 Sublot 2 SSSTS Supervison for Hydroseeeding- Lee Chilton
26th 27th 28th Oct 2022 Qty 3 Unit price £320
TOTAL £9",INV-002013,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,285,358746,44862,"Work Vehicle Qty 3 unit price £95
TOTAL £2",INV-002013,Proj000602,P-DIRECT,Sup000652
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,810,358751,44797,28/08/2022 H Lake Timesheet No: L001260097 Qty 45 @ rate £1,3931799,Proj000606,P-DIRECT,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1200,358752,44797,"Subcontractor provided weekending 21/08/22
300.00 per day",3931800,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,894.15,358753,44797,"Subcontractor provided weekending 21/08/22
19.87 per hour",3931801,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,849.15,358754,44797,"Subcontractor provided weekending 21/08/22
18.87 per hour",3931802,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1300,358755,44797,"Subcontractor provided weekending 28/08/22
260.00 per day",3931803,Proj000602,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1478.44,358756,44797,"Document Controller provided weekending 21/08/22
32.14 per hour",3931804,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,810,358757,44804,"Subcontractor provided weekending 30/10/22
18.00 per hour",3934130,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358758,44804,28/08/2022 M Laurentiu Serb Timesheet No: L001260582 Qty 5 @ rate £30,3934132,Proj000602,P-DIRECT,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,894.15,358759,44804,"Subcontractor provided weekending 28/08/22
19.87 per hour",3934133,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,849.15,358760,44804,28/08/2022 M Smith Timesheet No: L001259923 Qty 45 @ rate £18.8,3934134,Proj000606,P-DIRECT,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1300,358761,44804,"Subcontractor provided weekending 21/08/22
260.00 per day",3934135,Proj000602,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358762,44818,"Subcontractor provided weekending 30/10/22
300.00 per day",3939004,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358763,44860,"Subcontractor provided on HS2 weekending 11.09.22
300.00 per shift",3953681,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,810,358764,44867,"Subcontractor provided weekending 21/08/22
18.00 per hour",3956068,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1607,358765,44867,"Document Controller provided weekending 30/10/22
32.14 per hour",3956069,Proj000054,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,1500,358766,44867,"Subcontractor provided weekending 30/10/22
19.87 per hour",3956070,Proj000606,P-SUB,Sup000648
BU008,Subcontractors,691082004CIS,Subcontractors CIS,PL,INV,894.15,358767,44867,"subcontractor provided on EWR week ending 10/07/22
18.87 per hour",3956071,Proj000606,P-SUB,Sup000648
